last,first,current,grad,undergrad,year,h_score,citations
Alesina,Alberto,Harvard,Bocconi,Harvard,1986,NA,NA
Antras,Pol,Harvard,Pompeu Fabra,MIT,2003,24,7111
Barro,Robert,Harvard,CalTech,Harvard,1970,110,125256
Chamberlain,Gary,Harvard,Harvard,Harvard,1975,NA,NA
Chaney,Eric,Harvard,Stanford,Berkeley,2008,NA,NA
Chodorow-Reich,Gabriel,Harvard,Harvard,Berkeley,2013,7,469
Cooper,Richard,Harvard,Oberlin,Harvard,1962,106,55200
Cutler,David,Harvard,Harvard,MIT,1991,36,19343
Dell,Melissa,Harvard,Harvard,MIT,2012,11,1511
Farhi,Emmanuel,Harvard,Ecole ,MIT,2006,29,4929
Campbell,John,Harvard,Oxford,Yale,1979,84,69886
Feldstein,Martin,Harvard,Oxford,Harvard,1961,NA,NA
Freeman,Richard,Harvard,Dartmouth,Harvard,1964,10,392
Friedman,Benjamin,Harvard,Harvard,Harvard,1971,40,6092
Fryer,Roland,Harvard,University of Texas,Penn State,2002,32,5724
Fudenberg,Drew,Harvard,Harvard,MIT,1981,70,29282
Glaeser,Edward,Harvard,Princeton,UChicago,1992,102,71085
Goldin,Claudia,Harvard,Cornell,UChicago,1972,NA,NA
Golub,Benjamin,Harvard,CalTech,Stanford,2012,9,1082
Gopinath,Gita,Harvard,University of Delhi,Princeton,2001,18,3267
Hart,Oliver,Harvard,Cambridge,Princeton,1974,NA,NA
Helmpan ,Elhanan,Harvard,Tel Aviv,Harvard,1974,NA,NA
Hendren,Nathaniel,Harvard,UChicago,MIT,2012,8,710
Jorgenson,Dale,Harvard,Reed,Harvard,1959,NA,NA
Kasy,Maximilian,Harvard,University of Vienna,Berkeley,2008,4,76
Katz,Lawrence,Harvard,Berkeley,MIT,1981,83,47518
Kremer,Michael,Harvard,Harvard,Harvard,1992,23,1793
Laibson,David,Harvard,Harvard,MIT,1994,59,25349
Lee ,Robin,Harvard,Harvard,Harvard,2008,11,607
Maggioro,Matteo,Harvard,Luiss Guido Carli,Berkeley,2012,6,266
Mankiw,Greg,Harvard,Princeton,MIT,1984,81,55572
Marglin,Stephen,Harvard,Harvard,Harvard,1965,NA,NA
Maskin,Eric,Harvard,Harvard,Harvard,1972,70,28388
Melitz,Marc,Harvard,Haverford,Michigan,1989,25,25902
